Job Title,Health and Insurance Benefits,Career Development Opportunities,Paid Time Off / Vacation,Company Culture and Work Environment,Employee Discounts and Perks
Master-Thesis (m/f/d): Computational Human Computer Interaction,False,False,False,False,False
"Intern (m/f/d) Resource Control & Aggregate Management / Tank Systems / Drive Acoustics / Processes, Quality & Systems Engineering - Tool Development & AI",False,True,False,True,False
Intern (m/f/d) Pre-development electric drives,False,True,False,True,False
Intern (m/f/d) Product Management E-Mobility,False,True,False,True,False
Master Thesis (m/f/d): Context-Aware In-Car Recommender System: Predicting UI Interactions (User Needs) with Driving Context,False,False,False,False,False
Internship (m/w/d) International Sales Europe,False,True,False,True,False
Internships in the Sales Region ‘Overseas and Emerging Markets’,False,True,False,True,False
Intern (m/f/x) Partner Management Smart Mobility,False,True,False,True,False
"Intern (m/f/x) Styling: Exterior, Interior, Colour & Trim",False,True,False,False,False
